"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"1474","YouGov/Economist","2013-07-27","2013-07-29","2013-08-01T19:33:41Z",1000,"Adults","Internet",49,40,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17761","http://cdn.yougov.com/cumulus_uploads/document/qsgrjz4otx/20130729econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1475","YouGov/Economist","2013-07-20","2013-07-22","2013-07-24T18:06:03Z",1000,"Adults","Internet",49,45,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17725","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zb7eeitqtd/20130722econToplines.pdf","Nonpartisan","None","",1,,"Clinton",4
"1476","YouGov/Economist","2013-07-13","2013-07-15","2013-07-17T18:54:51Z",1000,"Adults","Internet",53,41,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17693","http://cdn.yougov.com/cumulus_uploads/document/plebg2r3k8/20130715econToplines.pdf","Nonpartisan","None","",1,,"Clinton",12
"1477","Democracy Corps (D-WVWV)","2013-07-10","2013-07-15","2013-07-26T20:48:54Z",475,"Registered Voters","Live Phone",51,36,,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-wvwv-17739","http://www.democracycorps.com/attachments/article/948/dcor.nat.fq.wvwv.web.pdf","Pollster","Dem","",1,,"Clinton",15
"1478","YouGov/Economist","2013-07-06","2013-07-08","2013-07-10T18:12:55Z",1000,"Adults","Internet",50,39,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17651","http://cdn.yougov.com/cumulus_uploads/document/gstmy2b6e8/20130708econToplines.pdf","Nonpartisan","None","",1,,"Clinton",11
"1479","Quinnipiac","2013-06-28","2013-07-08","2013-07-12T14:50:55Z",2014,"Registered Voters","Live Phone",55,38,7,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-17657","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1921","Nonpartisan","None","",1,,"Clinton",17
"1480","YouGov/Economist","2013-06-29","2013-07-01","2013-07-03T18:06:01Z",1000,"Adults","Internet",52,40,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17634","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0rd3x7rgj2/20130701econToplines.pdf","Nonpartisan","None","",1,,"Clinton",12
"1481","FOX","2013-06-22","2013-06-24","2013-06-28T14:54:17Z",1012,"Registered Voters","Live Phone",56,38,5,"http://elections.huffingtonpost.com/pollster/polls/fox-17613","http://www.foxnews.com/politics/interactive/2013/06/27/fox-news-poll-positive-views-christie-jump-views-clinton-down/","Nonpartisan","None","",1,,"Clinton",18
"1482","YouGov/Economist","2013-06-22","2013-06-24","2013-06-26T20:29:28Z",1000,"Adults","Internet",54,40,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17606","http://cdn.yougov.com/cumulus_uploads/document/z9pr64pqs6/Economist%20Toplines%20June%2024%202013.pdf","Nonpartisan","None","",1,,"Clinton",14
"1483","YouGov/Economist","2013-06-15","2013-06-17","2013-06-19T18:35:43Z",1000,"Adults","Internet",54,38,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17574","http://cdn.yougov.com/cumulus_uploads/document/etf70dw36d/20130615econToplines.pdf","Nonpartisan","None","",1,,"Clinton",16
"1484","YouGov/Economist","2013-06-08","2013-06-10","2013-06-12T17:30:15Z",1000,"Adults","Internet",50,41,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17529","http://cdn.yougov.com/cumulus_uploads/document/iqn03vbeyl/20130610econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1485","Gallup","2013-06-01","2013-06-04","2013-06-10T15:53:12Z",1529,"Adults","Live Phone",58,39,3,"http://elections.huffingtonpost.com/pollster/polls/gallup-17516","http://www.gallup.com/poll/162986/hillary-clinton-favorability-slips-slightly.aspx","Nonpartisan","None","",1,,"Clinton",19
"1486","YouGov/Economist","2013-06-01","2013-06-03","2013-06-05T17:30:05Z",1000,"Adults","Internet",52,43,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17491","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/08eqj3n0pn/20130601econToplines.pdf","Nonpartisan","None","",1,,"Clinton",9
"1487","Bloomberg","2013-05-31","2013-06-03","2013-06-05T18:48:48Z",1003,"Adults","Live Phone",58,37,5,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-17493","http://media.bloomberg.com/bb/avfile/rgST1PSy9x2g","Nonpartisan","None","",1,,"Clinton",21
"1488","NBC/WSJ","2013-05-30","2013-06-02","2013-06-05T14:54:41Z",1000,"Adults","Live Phone",49,31,20,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-17490","http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_U.S.%20news/US-news-PDFs/13200%20May-June%20NBC-WSJ%20(6-4-13%20Release).pdf","Nonpartisan","None","",1,,"Clinton",18
"1489","Quinnipiac","2013-05-22","2013-05-28","2013-05-31T14:51:23Z",1419,"Registered Voters","Live Phone",52,40,8,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-17476","http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1900","Nonpartisan","None","",1,,"Clinton",12
"1490","YouGov/Economist","2013-05-25","2013-05-27","2013-05-29T17:09:41Z",1000,"Adults","Internet",50,44,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17467","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jec08kvfk5/20130525econToplines.pdf","Nonpartisan","None","",1,,"Clinton",6
"1491","YouGov/Economist","2013-05-18","2013-05-20","2013-05-22T17:52:33Z",1000,"Adults","Internet",51,40,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17431","http://cdn.yougov.com/cumulus_uploads/document/9iecol3fxz/20130520econToplines.pdf","Nonpartisan","None","",1,,"Clinton",11
"1492","YouGov/Economist","2013-05-11","2013-05-13","2013-05-15T17:08:30Z",1000,"Adults","Internet",54,37,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17400","http://cdn.yougov.com/cumulus_uploads/document/2r67v1kk13/20130513econToplines.pdf","Nonpartisan","None","",1,,"Clinton",17
"1493","PPP (D)","2013-05-10","2013-05-12","2013-05-13T15:23:02Z",576,"Likely Voters","Automated Phone",52,44,5,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17378","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_51313.pdf","Pollster","Dem","",1,,"Clinton",8
"1494","PPP (D)","2013-05-06","2013-05-09","2013-05-15T16:18:48Z",1099,"Likely Voters","Automated Phone",51,43,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17399","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_515Final.pdf","Pollster","Dem","",1,,"Clinton",8
"1495","YouGov/Economist","2013-05-04","2013-05-06","2013-05-08T19:34:46Z",1000,"Adults","Internet",57,34,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17365","http://cdn.yougov.com/cumulus_uploads/document/19upro7urj/20130504econToplines.pdf","Nonpartisan","None","",1,,"Clinton",23
"1496","YouGov/Economist","2013-04-27","2013-04-29","2013-05-01T17:13:37Z",1000,"Adults","Internet",53,38,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17334","http://cdn.yougov.com/cumulus_uploads/document/rdzpcqt1z8/20130428econToplines.pdf","Nonpartisan","None","",1,,"Clinton",15
"1497","YouGov/Economist","2013-04-20","2013-04-22","2013-04-24T17:58:47Z",1000,"Adults","Internet",52,38,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17303","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/81xtzg2m1g/20130420econToplines.pdf","Nonpartisan","None","",1,,"Clinton",14
"1498","YouGov/Economist","2013-04-13","2013-04-15","2013-04-17T17:43:59Z",1000,"Adults","Internet",58,33,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17272","http://cdn.yougov.com/cumulus_uploads/document/lz6vpeumlp/20130413econToplines.pdf","Nonpartisan","None","",1,,"Clinton",25
"1499","Gallup","2013-04-11","2013-04-14","2013-04-23T18:46:22Z",1012,"Adults","Live Phone",64,31,5,"http://elections.huffingtonpost.com/pollster/polls/gallup-17298","http://www.gallup.com/poll/161771/congress-approval-remains-slump.aspx","Nonpartisan","None","",1,,"Clinton",33
"1500","YouGov/Economist","2013-04-06","2013-04-08","2013-04-11T17:05:25Z",1000,"Adults","Internet",57,35,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17249","http://cdn.yougov.com/cumulus_uploads/document/m2zh9rw4oc/20130406econToplines.pdf","Nonpartisan","None","",1,,"Clinton",22
"1501","NBC/WSJ","2013-04-05","2013-04-08","2013-04-11T11:29:40Z",1000,"Adults","Live Phone",56,29,15,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-17245","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/13127%20APRIL%20NBC-WSJ%20%284-11%20Release%29.pdf","Nonpartisan","None","",1,,"Clinton",27
"1502","PPP (D)","2013-03-27","2013-03-30","2013-04-04T16:22:12Z",1247,"Likely Voters","Automated Phone",50,42,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-17222","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_4313.pdf","Pollster","Dem","",1,,"Clinton",8
"1503","YouGov/Economist","2013-03-16","2013-03-18","2013-03-20T17:08:18Z",1000,"Adults","Internet",56,35,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17175","http://cdn.yougov.com/cumulus_uploads/document/lrrqra6shb/20130316econToplines.pdf","Nonpartisan","None","",1,,"Clinton",21
"1504","Democracy Corps (D)","2013-03-09","2013-03-12","2013-03-13T18:45:40Z",475,"Likely Voters","Live Phone",51,37,,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-17151","http://www.democracycorps.com/attachments/article/943/dcor130312fq.hc.pdf","Pollster","Dem","",1,,"Clinton",14
"1505","YouGov/Economist","2013-03-09","2013-03-11","2013-03-13T17:42:07Z",1000,"Adults","Internet",54,39,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17150","http://cdn.yougov.com/cumulus_uploads/document/m69x2f65gu/20130309econToplines.pdf","Nonpartisan","None","",1,,"Clinton",15
"1506","YouGov/Economist","2013-03-02","2013-03-04","2013-03-06T16:48:08Z",1000,"Adults","Internet",56,35,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17116","http://cdn.yougov.com/cumulus_uploads/document/3igz6903ma/20130302econToplines.pdf","Nonpartisan","None","",1,,"Clinton",21
"1507","YouGov/Economist","2013-02-23","2013-02-25","2013-02-27T18:13:26Z",1000,"Adults","Internet",57,34,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17087","http://cdn.yougov.com/cumulus_uploads/document/x88q6cjkbv/20130223-econToplines.pdf","Nonpartisan","None","",1,,"Clinton",23
"1508","YouGov/Economist","2013-02-16","2013-02-18","2013-02-22T16:49:10Z",1000,"Adults","Internet",55,34,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17064","http://cdn.yougov.com/cumulus_uploads/document/fcd3s0ow27/20130216Toplines.pdf","Nonpartisan","None","",1,,"Clinton",21
"1509","YouGov/Economist","2013-02-02","2013-02-04","2013-02-08T17:59:23Z",994,"Adults","Internet",52,37,12,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-17000","http://cdn.yougov.com/cumulus_uploads/document/0z72vfhmup/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",15
"1510","Quinnipiac","2013-01-30","2013-02-04","2013-02-08T15:30:12Z",1772,"Registered Voters","Live Phone",61,34,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-16998","http://www.quinnipiac.edu/institutes-centers/polling-institute/national/release-detail/?ReleaseID=1849","Nonpartisan","None","",1,,"Clinton",27
"1511","YouGov/Economist","2013-01-26","2013-01-28","2013-02-01T18:55:50Z",997,"Adults","Internet",58,35,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16965","http://cdn.yougov.com/cumulus_uploads/document/9e5hbws0mp/20130126_econTabReport.pdf","Nonpartisan","None","",1,,"Clinton",23
"1512","YouGov/Economist","2013-01-19","2013-01-21","2013-02-01T18:34:41Z",999,"Adults","Internet",58,33,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16964","http://cdn.yougov.com/cumulus_uploads/document/d3ms2sphnu/20130119econTabReport.pdf","Nonpartisan","None","",1,,"Clinton",25
"1513","ABC/Post","2013-01-16","2013-01-20","2013-01-23T13:17:22Z",1033,"Adults","Live Phone",67,26,6,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16925","http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_20130120.html","Nonpartisan","None","",1,,"Clinton",41
"1514","NBC/WSJ","2013-01-12","2013-01-15","2013-01-18T10:26:42Z",1000,"Adults","Live Phone",56,25,19,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16905","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/13018_JANUARY_NBC-WSJ.pdf","Nonpartisan","None","",1,,"Clinton",31
"1515","YouGov/Economist","2013-01-12","2013-01-14","2013-02-01T17:14:07Z",998,"Adults","Internet",56,38,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16963","http://cdn.yougov.com/cumulus_uploads/document/h9rwppzi83/20130112_econTabReport.pdf","Nonpartisan","None","",1,,"Clinton",18
"1516","Democracy Corps (D)","2013-01-10","2013-01-14","2013-01-28T13:16:38Z",475,"Likely Voters","Live Phone",51,35,,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16944","http://www.democracycorps.com/attachments/article/937/dcor130114fq_FINAL.pdf","Pollster","Dem","",1,,"Clinton",16
"1517","PPP (D)","2013-01-03","2013-01-06","2013-01-08T12:08:17Z",1100,"Likely Voters","Automated Phone",54,39,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-16866","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_011013.pdf","Pollster","Dem","",1,,"Clinton",15
"1518","CBS","2012-12-12","2012-12-16","2012-12-19T10:59:54Z",1179,"Adults","Live Phone",55,23,23,"http://elections.huffingtonpost.com/pollster/polls/cbs-16822","http://www.scribd.com/doc/117298635/CBS-News-Poll-Fiscal-Cliff","Nonpartisan","None","",1,,"Clinton",32
"1519","NBC/WSJ","2012-12-06","2012-12-09","2012-12-13T14:27:05Z",500,"Adults","Live Phone",58,28,14,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16807","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBCPOLL1212.pdf","Nonpartisan","None","",1,,"Clinton",30
"1520","Politico/GWU/Battleground","2012-12-02","2012-12-06","2012-12-10T10:25:00Z",1000,"Likely Voters","Live Phone",60,35,5,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16794","http://images.politico.com/global/2012/12/07/121207_battlegroundpoll.html","Nonpartisan","None","",1,,"Clinton",25
"1521","YouGov/Economist","2012-12-01","2012-12-03","2012-12-05T12:26:48Z",997,"Adults","Internet",55,39,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16774","http://cdn.yougov.com/cumulus_uploads/document/v4l4yvo8fk/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",16
"1522","PPP (D)","2012-11-30","2012-12-02","2012-12-06T16:31:37Z",700,"Registered Voters","Automated Phone",57,36,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-16784","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1206.pdf","Pollster","Dem","",1,,"Clinton",21
"1523","ABC/Post","2012-11-28","2012-12-02","2012-12-05T10:56:57Z",1020,"Adults","Live Phone",66,28,6,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16772","http://www.washingtonpost.com/blogs/the-fix/wp/2012/12/05/run-hillary-run-majority-want-a-clinton-2016-candidacy/","Nonpartisan","None","",1,,"Clinton",38
"1524","CNN","2012-11-16","2012-11-18","2012-11-27T10:50:28Z",1023,"Adults","Live Phone",67,28,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-16740","http://i2.cdn.turner.com/cnn/2012/images/11/26/approvalpoll.pdf","Nonpartisan","None","",1,,"Clinton",39
"1525","Rasmussen","2012-11-14","2012-11-14","2012-11-19T11:21:34Z",1000,"Likely Voters","Automated Phone",56,40,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16715","http://www.rasmussenreports.com/public_content/politics/general_politics/november_2012/56_have_favorable_opinion_of_hillary_clinton","Nonpartisan","None","",1,,"Clinton",16
"1526","FOX","2012-08-19","2012-08-21","2012-08-24T10:18:40Z",1219,"Registered Voters","Live Phone",63,31,7,"http://elections.huffingtonpost.com/pollster/polls/fox-14758","http://www.foxnews.com/politics/interactive/2012/08/23/fox-news-poll-race-for-white-house-tightens/","Nonpartisan","None","",1,,"Clinton",32
"1527","Democracy Corps (D)","2012-06-23","2012-06-27","2012-06-29T12:28:00Z",1000,"Likely Voters","Live Phone",55,29,,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-14218","http://www.democracycorps.com/strategy/2012/06/president-obama-makes-gains-in-winnable-race/","Pollster","Dem","",1,,"Clinton",26
"1528","YouGov/Economist","2012-06-16","2012-06-18","2012-06-20T13:10:25Z",1000,"Adults","Internet",53,35,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-14138","http://cdn.yougov.com/cumulus_uploads/document/cfvy9lxvl9/econToplines.pdf","Nonpartisan","None","",1,,"Clinton",18
"1529","FOX","2012-01-12","2012-01-14","2012-01-17T10:32:05Z",906,"Registered Voters","Live Phone",63,33,5,"http://elections.huffingtonpost.com/pollster/polls/fox-12472","http://www.foxnews.com/interactive/politics/2012/01/15/fox-news-poll-raw-data-romney-hits-record-high-but-still-tied-with-obama/","Nonpartisan","None","",1,,"Clinton",30
"1530","NBC/WSJ","2011-11-02","2011-11-05","2011-11-08T10:08:36Z",1000,"Adults","Live Phone",55,22,23,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-12087","http://msnbcmedia.msn.com/i/MSNBC/Sections/NEWS/A_Politics/November_Poll.pdf","Nonpartisan","None","",1,,"Clinton",33
"1531","YouGov/Economist","2011-10-29","2011-11-01","2011-11-03T11:19:20Z",1000,"Adults","Internet",57,34,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-12064","http://big.assets.huffingtonpost.com/20111101econToplines.pdf","Nonpartisan","None","",1,,"Clinton",23
"1532","Bloomberg","2011-09-09","2011-09-12","2011-09-16T11:08:53Z",997,"Adults","Live Phone",64,31,5,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-11856","http://www.bloomberg.com/news/2011-09-16/clinton-popularity-prompts-some-remorse-poll.html","Nonpartisan","None","",1,,"Clinton",33
"1533","YouGov/Economist","2011-09-03","2011-09-06","2011-09-09T08:46:38Z",1000,"Adults","Internet",58,31,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-11815","http://big.assets.huffingtonpost.com/20110906econToplines.pdf","Nonpartisan","None","",1,,"Clinton",27
"1534","Suffolk","2011-05-10","2011-05-17","2011-05-18T17:33:54Z",1070,"Likely Voters","Live Phone",59,33,8,"http://elections.huffingtonpost.com/pollster/polls/suffolk-11348","http://suffolk.edu/46652.html","Nonpartisan","None","",1,,"Clinton",26
"1535","AP-GfK","2011-05-05","2011-05-09","2011-05-11T11:13:46Z",1001,"Adults","Live Phone",71,26,2,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-11320","http://www.ap-gfkpoll.com/pdf/AP-GfK_Poll_May_Topline_051011_POLITICS.pdf","Nonpartisan","None","",1,,"Clinton",45
